id,name,brand,category,price_inr,processor,ram_gb,storage_gb,camera_primary_mp,display_size_inches,battery_mah,key_feature_1,key_feature_2,short_description_for_rag
1,Galaxy S23 Ultra,Samsung,Smartphone,124999,Snapdragon 8 Gen 2,8,256,200,6.8,5000,S Pen Support,120Hz Display,"Premium flagship smartphone with 200MP camera, S Pen support, 6.8-inch 120Hz display, 8GB RAM, 256GB storage, 5000mAh battery, powered by Snapdragon 8 Gen 2 processor"
2,iPhone 14 Pro,Apple,Smartphone,129900,A16 Bionic,6,128,48,6.1,3200,Dynamic Island,ProRAW Camera,"High-end iPhone with 48MP ProRAW camera, Dynamic Island, 6.1-inch display, 6GB RAM, 128GB storage, 3200mAh battery, powered by A16 Bionic chip"
3,OnePlus 11,OnePlus,Smartphone,56999,Snapdragon 8 Gen 2,8,128,50,6.7,5000,Hasselblad Camera,100W Fast Charging,"Flagship killer with 50MP Hasselblad camera, 6.7-inch 120Hz display, 8GB RAM, 128GB storage, 5000mAh battery with 100W fast charging, Snapdragon 8 Gen 2"
4,Pixel 7 Pro,Google,Smartphone,84999,Google Tensor G2,12,128,50,6.7,5003,Computational Photography,Pure Android,"Google's flagship with advanced computational photography, 50MP camera, 6.7-inch display, 12GB RAM, 128GB storage, 5003mAh battery, Google Tensor G2 chip, pure Android experience"
5,Mi 13 Pro,Xiaomi,Smartphone,79999,Snapdragon 8 Gen 2,8,256,50,6.73,4820,Leica Camera,120W Fast Charging,"Premium Xiaomi phone with 50MP Leica camera system, 6.73-inch display, 8GB RAM, 256GB storage, 4820mAh battery with 120W charging, Snapdragon 8 Gen 2"
6,iQOO 11,iQOO,Smartphone,59999,Snapdragon 8 Gen 2,8,256,50,6.78,5000,Gaming Performance,120W Fast Charging,"Gaming-focused smartphone with 50MP camera, 6.78-inch 144Hz display, 8GB RAM, 256GB storage, 5000mAh battery, 120W charging, optimized for gaming"
7,Nothing Phone 2,Nothing,Smartphone,44999,Snapdragon 8 Plus Gen 1,8,128,50,6.7,4700,Glyph Interface,Unique Design,"Innovative smartphone with unique Glyph interface, 50MP camera, 6.7-inch 120Hz display, 8GB RAM, 128GB storage, 4700mAh battery, distinctive transparent design"
8,Realme GT 3,Realme,Smartphone,42999,Snapdragon 8 Plus Gen 1,8,128,50,6.74,4600,240W Fast Charging,Gaming Optimized,"Ultra-fast charging smartphone with 240W charging, 50MP camera, 6.74-inch 144Hz display, 8GB RAM, 128GB storage, 4600mAh battery, gaming optimizations"
9,Poco F5 Pro,Poco,Smartphone,29999,Snapdragon 8 Plus Gen 1,8,256,64,6.67,5160,High Refresh Rate,Value for Money,"Budget flagship with 64MP camera, 6.67-inch 120Hz display, 8GB RAM, 256GB storage, 5160mAh battery, excellent value for money with flagship processor"
10,Moto Edge 40 Pro,Motorola,Smartphone,49999,Snapdragon 8 Gen 2,8,256,50,6.67,4600,Curve Display,Near Stock Android,"Premium Motorola phone with 50MP camera, 6.67-inch curved 165Hz display, 8GB RAM, 256GB storage, 4600mAh battery, near-stock Android experience"
11,Vivo X90 Pro,Vivo,Smartphone,84999,MediaTek Dimensity 9200,8,256,50,6.78,4870,Zeiss Optics,Portrait Photography,"Camera-focused smartphone with 50MP Zeiss camera, 6.78-inch 120Hz display, 8GB RAM, 256GB storage, 4870mAh battery, exceptional portrait photography capabilities"
12,Oppo Find X6 Pro,Oppo,Smartphone,89999,Snapdragon 8 Gen 2,12,256,50,6.82,5000,Hasselblad Camera,SuperVOOC Charging,"Premium Oppo flagship with 50MP Hasselblad camera, 6.82-inch 120Hz display, 12GB RAM, 256GB storage, 5000mAh battery with SuperVOOC fast charging"
13,Honor Magic 5 Pro,Honor,Smartphone,59999,Snapdragon 8 Gen 2,8,256,50,6.81,5100,Magic OS,Eye Protection,"Flagship Honor phone with 50MP camera, 6.81-inch display with advanced eye protection, 8GB RAM, 256GB storage, 5100mAh battery, Magic OS interface"
14,Asus ROG Phone 7,Asus,Smartphone,79999,Snapdragon 8 Gen 2,12,256,50,6.78,6000,Gaming Beast,Cooling System,"Ultimate gaming smartphone with 50MP camera, 6.78-inch 165Hz display, 12GB RAM, 256GB storage, massive 6000mAh battery, advanced cooling system for gaming"
15,Sony Xperia 1 V,Sony,Smartphone,119999,Snapdragon 8 Gen 2,12,256,48,6.5,5000,Pro Camera,4K Display,"Professional camera smartphone with 48MP camera system, 6.5-inch 4K 120Hz display, 12GB RAM, 256GB storage, 5000mAh battery, optimized for content creators" 
